product_id,product_name,category,subcategory,brand,unit_price,cost_price,supplier_id
P001,Wireless Bluetooth Headphones,Electronics,Audio,SoundWave,89.99,45.00,SUP001
P002,Organic Green Tea (50 bags),Groceries,Beverages,NatureBrew,12.99,6.50,SUP002
P003,Running Shoes Pro,Sports,Footwear,SpeedRunner,129.99,65.00,SUP003
P004,Stainless Steel Water Bottle,Home,Kitchen,EcoLife,24.99,10.00,SUP004
P005,Laptop Stand Adjustable,Electronics,Accessories,TechEase,49.99,22.00,SUP001
P006,Yoga Mat Premium,Sports,Fitness,FlexFit,39.99,18.00,SUP003
P007,Coffee Maker Deluxe,Home,Appliances,BrewMaster,149.99,75.00,SUP005
P008,Wireless Mouse Ergonomic,Electronics,Accessories,TechEase,34.99,15.00,SUP001
P009,Protein Powder Vanilla,Groceries,Health,VitalNutrition,44.99,22.00,SUP002
P010,Smart Watch Fitness,Electronics,Wearables,TechEase,199.99,95.00,SUP001
P011,Bamboo Cutting Board Set,Home,Kitchen,EcoLife,29.99,12.00,SUP004
P012,Resistance Bands Set,Sports,Fitness,FlexFit,19.99,8.00,SUP003

